    time          tnp
1990.012329101562 -10.27192402
1990.015014648438  -9.88419724
1990.017822265625 -10.06881332
1990.020507812500  -9.73854542
1990.023315429688  -9.08378696
1990.026000976562  -7.83528852
1990.028686523438  -6.62815666
1990.031494140625  -5.00289583
1990.034179687500  -4.22743702
1990.036987304688  -5.29546833
1990.039672851562  -6.02256203
1990.042480468750  -4.89134789
1990.045166015625  -3.70297146
1990.047973632812  -3.12509131
1990.050659179688  -4.25824451
1990.053344726562  -5.55745173
1990.056152343750  -6.42650843
1990.058837890625  -5.63213682
1990.061645507812  -5.28552485
1990.064331054688  -5.73471737
1990.067138671875  -6.39794970
1990.069824218750  -6.58309031
1990.072631835938  -6.67836905
1990.075317382812  -5.62998629
1990.078002929688  -5.13499975
1990.080810546875  -5.52084970
1990.083496093750  -5.84757090
1990.086303710938  -7.29348612
1990.088989257812 -10.32314205
1990.091796875000  -8.85407257
1990.094482421875  -3.70190430
1990.097290039062   0.50291276
1990.099975585938   1.97279429
1990.102661132812   2.29774785
1990.105468750000   5.19032526
1990.108154296875  11.83525562
1990.110961914062  17.72859764
1990.113647460938  19.32565498
1990.116455078125  19.98145485
1990.119140625000  18.76368904
1990.121948242188  17.91142082
1990.124633789062  14.68615341
1990.127319335938  10.93516827
1990.130126953125   7.86534834
1990.132812500000   7.11226273
1990.135620117188   7.60976553
1990.138305664062   6.75547123
1990.141113281250   6.60484600
1990.143798828125   6.09029388
1990.146606445312   5.01043177
1990.149291992188   3.51348996
1990.151977539062   4.51674271
1990.154785156250   1.82880723
1990.157470703125   1.05975711
1990.160278320312  -0.16849361
1990.162963867188  -2.92830777
1990.165771484375  -1.29561388
1990.168457031250  -2.22448874
1990.171264648438  -3.14036727
1990.173950195312  -3.51325345
1990.176635742188  -3.12840581
1990.179443359375  -2.53023291
1990.182128906250  -2.95492840
1990.184936523438  -3.76771951
1990.187622070312  -4.41526079
1990.190429687500  -4.58930063
1990.193115234375  -4.80358648
1990.195922851562  -4.32925987
1990.198608398438  -3.51323843
1990.201293945312  -2.31230378
1990.204101562500  -1.46536577
1990.206787109375  -0.72724295
1990.209594726562  -0.33325696
1990.212280273438   1.40139115
1990.215087890625   1.22100818
1990.217773437500   0.93484366
1990.220581054688   0.87882024
1990.223266601562   1.56663740
1990.225952148438   0.91460609
1990.228759765625  -1.48430455
1990.231445312500  -2.51439881
1990.234252929688  -2.73199487
1990.236938476562  -2.84845829
1990.239746093750  -2.57254601
1990.242431640625  -1.87497425
1990.245239257812  -2.33794403
1990.247924804688  -3.50303316
1990.250610351562  -3.60640001
1990.253417968750  -3.06005168
1990.256103515625  -3.28237915
1990.258911132812  -3.91467047
1990.261596679688  -4.01162338
1990.264404296875  -4.12045765
1990.267089843750  -4.63691807
1990.269775390625  -4.11682606
1990.272583007812  -2.65778327
1990.275268554688  -1.14293480
1990.278076171875  -0.77890182
1990.280761718750  -0.64723730
1990.283569335938   0.25016618
1990.286254882812   1.13044405
1990.289062500000   1.51728666
1990.291748046875   1.56855917
1990.294433593750   1.76406324
1990.297241210938   1.31832516
1990.299926757812   0.74423593
1990.302734375000  -0.32930800
1990.305419921875  -0.56176645
1990.308227539062  -0.68663555
1990.310913085938  -0.05932076
1990.313720703125   3.65734196
1990.316406250000   1.24655581
1990.319091796875   0.82124680
1990.321899414062   0.40774229
1990.324584960938   0.34824479
1990.327392578125   0.46617106
1990.330078125000   0.61146230
1990.332885742188   0.63513714
1990.335571289062   0.52542770
1990.338378906250   0.42230308
