    time          teq
1990.012329101562   2.81442499
1990.015014648438   2.68097448
1990.017822265625   2.50454760
1990.020507812500   2.34765315
1990.023315429688   2.21385837
1990.026000976562   2.01364756
1990.028686523438   1.81665802
1990.031494140625   1.68092752
1990.034179687500   1.53936517
1990.036987304688   1.35295022
1990.039672851562   1.21128893
1990.042480468750   1.10331988
1990.045166015625   1.04837418
1990.047973632812   1.01503074
1990.050659179688   1.00325787
1990.053344726562   1.04384375
1990.056152343750   1.09750521
1990.058837890625   1.07995987
1990.061645507812   1.10383499
1990.064331054688   1.16493165
1990.067138671875   1.28388226
1990.069824218750   1.36964560
1990.072631835938   1.38930404
1990.075317382812   1.39076102
1990.078002929688   1.35249078
1990.080810546875   1.38496828
1990.083496093750   1.46811152
1990.086303710938   1.54626477
1990.088989257812   1.57388902
1990.091796875000   1.52075744
1990.094482421875   1.35728765
1990.097290039062   1.14296305
1990.099975585938   0.94312274
1990.102661132812   0.65308106
1990.105468750000   0.34289441
1990.108154296875  -0.07635077
1990.110961914062  -0.35273778
1990.113647460938  -0.55474102
1990.116455078125  -0.67139196
1990.119140625000  -0.72133672
1990.121948242188  -0.68425375
1990.124633789062  -0.52602339
1990.127319335938  -0.31954318
1990.130126953125  -0.09146716
1990.132812500000   0.10669184
1990.135620117188   0.27262622
1990.138305664062   0.42092076
1990.141113281250   0.55377728
1990.143798828125   0.66957068
1990.146606445312   0.78324026
1990.149291992188   0.89251179
1990.151977539062   1.00304246
1990.154785156250   1.09931433
1990.157470703125   1.24029279
1990.160278320312   1.38034534
1990.162963867188   1.49975193
1990.165771484375   1.59545362
1990.168457031250   1.68705773
1990.171264648438   1.77119339
1990.173950195312   1.86199880
1990.176635742188   1.98311746
1990.179443359375   2.09633708
1990.182128906250   2.20577025
1990.184936523438   2.32509756
1990.187622070312   2.41634345
1990.190429687500   2.47906017
1990.193115234375   2.56242371
1990.195922851562   2.61699772
1990.198608398438   2.63437653
1990.201293945312   2.67553616
1990.204101562500   2.72327471
1990.206787109375   2.71379375
1990.209594726562   2.68278933
1990.212280273438   2.60868549
1990.215087890625   2.51970625
1990.217773437500   2.44668937
1990.220581054688   2.39767194
1990.223266601562   2.39492989
1990.225952148438   2.40139532
1990.228759765625   2.49279094
1990.231445312500   2.59918022
1990.234252929688   2.74584889
1990.236938476562   2.84651828
1990.239746093750   2.92014527
1990.242431640625   2.95527220
1990.245239257812   2.95892501
1990.247924804688   3.01860142
1990.250610351562   3.09835792
1990.253417968750   3.18631029
1990.256103515625   3.22910833
1990.258911132812   3.20375443
1990.261596679688   3.16142845
1990.264404296875   3.11718369
1990.267089843750   3.01071882
1990.269775390625   2.92969084
1990.272583007812   2.84231877
1990.275268554688   2.72735071
1990.278076171875   2.58803248
1990.280761718750   2.48704004
1990.283569335938   2.38497186
1990.286254882812   2.32303643
1990.289062500000   2.31350899
1990.291748046875   2.31137300
1990.294433593750   2.34686732
1990.297241210938   2.35453820
1990.299926757812   2.41829896
1990.302734375000   2.42668533
1990.305419921875   2.41460276
1990.308227539062   2.42071128
1990.310913085938   2.45736551
1990.313720703125   2.50602317
1990.316406250000   2.46703625
