NTime  264 NIMF  8

       Time       RawData
  1990.0800         45.74
  1990.1700         45.67
  1990.2500         46.43
  1990.3300         46.46
  1990.4200         45.84
  1990.5000         45.49
  1990.5800         45.22
  1990.6700         44.78
  1990.7500         45.42
  1990.8300         45.74
  1990.9200         46.04
  1991.0000         46.04
  1991.0800         45.18
  1991.1700         44.77
  1991.2500         44.57
  1991.3300         44.25
  1991.4200         43.80
  1991.5000         44.05
  1991.5800         44.35
  1991.6700         44.97
  1991.7500         46.02
  1991.8300         47.15
  1991.9200         47.50
  1992.0000         47.08
  1992.0800         46.36
  1992.1700         46.25
  1992.2500         46.76
  1992.3300         46.64
  1992.4200         46.10
  1992.5000         45.75
  1992.5800         45.44
  1992.6700         46.03
  1992.7500         46.76
  1992.8300         47.09
  1992.9200         47.37
  1993.0000         46.63
  1993.0800         46.23
  1993.1700         45.70
  1993.2500         45.66
  1993.3300         45.69
  1993.4200         45.51
  1993.5000         45.27
  1993.5800         45.49
  1993.6700         45.81
  1993.7500         46.23
  1993.8300         46.72
  1993.9200         46.49
  1994.0000         46.01
  1994.0800         45.13
  1994.1700         45.09
  1994.2500         45.24
  1994.3300         45.21
  1994.4200         44.91
  1994.5000         44.39
  1994.5800         44.63
  1994.6700         45.13
  1994.7500         46.14
  1994.8300         46.81
  1994.9200         47.16
  1995.0000         46.30
  1995.0800         46.86
  1995.1700         45.90
  1995.2500         45.80
  1995.3300         46.05
  1995.4200         45.53
  1995.5000         45.16
  1995.5800         45.33
  1995.6700         45.83
  1995.7500         46.18
  1995.8300         46.89
  1995.9200         46.97
  1996.0000         46.59
  1996.0800         46.88
  1996.1700         46.40
  1996.2500         45.91
  1996.3300         45.74
  1996.4200         45.85
  1996.5000         45.54
  1996.5800         44.95
  1996.6700         45.17
  1996.7500         45.69
  1996.8300         46.61
  1996.9200         47.26
  1997.0000         47.19
  1997.0800         46.80
  1997.1700         46.53
  1997.2500         46.72
  1997.3300         47.27
  1997.4200         46.96
  1997.5000         46.30
  1997.5800         45.91
  1997.6700         45.81
  1997.7500         45.36
  1997.8300         45.62
  1997.9200         45.99
  1998.0000         45.97
  1998.0800         45.70
  1998.1700         45.26
  1998.2500         45.23
  1998.3300         45.34
  1998.4200         45.18
  1998.5000         44.59
  1998.5800         44.28
  1998.6700         44.36
  1998.7500         45.08
  1998.8300         46.05
  1998.9200         46.97
  1999.0000         46.76
  1999.0800         46.29
  1999.1700         45.94
  1999.2500         46.37
  1999.3300         46.04
  1999.4200         46.65
  1999.5000         46.13
  1999.5800         45.54
  1999.6700         45.27
  1999.7500         45.64
  1999.8300         46.08
  1999.9200         46.46
  2000.0000         46.62
  2000.0800         46.50
  2000.1700         46.03
  2000.2500         45.50
  2000.3300         45.59
  2000.4200         45.18
  2000.5000         45.12
  2000.5800         44.73
  2000.6700         44.93
  2000.7500         45.62
  2000.8300         46.23
  2000.9200         46.71
  2001.0000         46.62
  2001.0800         46.11
  2001.1700         45.56
  2001.2500         45.30
  2001.3300         45.50
  2001.4200         46.10
  2001.5000         45.90
  2001.5800         45.29
  2001.6700         45.36
  2001.7500         46.30
  2001.8300         46.98
  2001.9200         47.42
  2002.0000         47.60
  2002.0800         47.41
  2002.1700         45.86
  2002.2500         44.83
  2002.3300         45.09
  2002.4200         45.57
  2002.5000         45.84
  2002.5800         45.06
  2002.6700         44.27
  2002.7500         43.84
  2002.8300         44.24
  2002.9200         44.61
  2003.0000         44.91
  2003.0800         45.27
  2003.1700         45.41
  2003.2500         44.60
  2003.3300         44.75
  2003.4200         44.99
  2003.5000         44.65
  2003.5800         44.37
  2003.6700         44.48
  2003.7500         44.92
  2003.8300         45.69
  2003.9200         46.18
  2004.0000         46.75
  2004.0800         46.76
  2004.1700         45.71
  2004.2500         45.25
  2004.3300         45.92
  2004.4200         46.42
  2004.5000         46.55
  2004.5800         45.69
  2004.6700         45.09
  2004.7500         45.06
  2004.8300         44.67
  2004.9200         45.15
  2005.0000         45.80
  2005.0800         45.78
  2005.1700         45.86
  2005.2500         45.99
  2005.3300         45.88
  2005.4200         45.44
  2005.5000         45.06
  2005.5800         44.53
  2005.6700         44.00
  2005.7500         44.15
  2005.8300         44.64
  2005.9200         45.54
